주소,동,위도,경도
대구광역시 남구 봉덕로 5길30,봉덕1동,35.846676,128.593345
대구광역시 남구 중앙대로 32길60,봉덕1동,35.847323,128.593978
대구광역시 남구 봉덕로 20길21,봉덕2동,35.843606,128.601056
대구광역시 남구 중앙대로 22길174,봉덕3동,35.842192,128.600187
대구광역시 남구 삼정 2길32,봉덕3동,35.838799,128.594886
대구광역시 남구 명덕로228-17,이천동,35.856074,128.595491
대구광역시 남구 현충로 107,대명1동,35.842506,128.579617
대구광역시 남구 현충로 25길71,대명1동,35.844235,128.575717
대구광역시 남구 장전 3길96,대명1동,35.840894,128.577468
대구광역시 남구 영선시장 2길70-2,대명2동,35.853063,128.592623
대구광역시 남구 중앙대로 48길24,대명2동,35.852397,128.592138
대구광역시 남구 중앙대로 48길36,대명2동,35.852338,128.592938
대구광역시 남구 중앙대로 49길46,대명2동,35.855573,128.588062
대구광역시 남구 계명 8길35,대명3동,35.852028,128.578877
대구광역시 남구 현충로 195,대명3동,35.850363,128.580799
대구광역시 남구 현충로 236,대명3동,35.853722,128.583516
대구광역시 남구 명덕로 26길14,대명3동,35.855779,128.584163
대구광역시 남구 성당시장길 48,대명4동,35.848159,128.570632
대구광역시 남구 두류공원로 17길42,대명4동,35.844713,128.568175
대구광역시 남구 대명로 53길45,대명5동,35.844954,128.586239
대구광역시 남구 대명로78,대명6동,35.838987,128.566123
대구광역시 남구 대명로 20길51,대명6동,35.836956,128.568174
대구광역시 남구 대명로 14길31-2,대명6동,35.837593,128.564848
대구광역시 남구 큰골길 135,대명9동,35.836219,128.583511
대구광역시 남구 자유1길86,대명9동,35.837334,128.583092
대구광역시 남구 큰골5길26,대명9동,35.837569,128.582152
대구광역시 남구 큰골길 69,대명9동,35.837035,128.579982
대구광역시 남구 대명로 19길 23,대명10동,35.840598,128.567641
대구광역시 남구 관문시장 1길17,대명11동,35.837035,128.559179
대구광역시 남구 골안길 18,대명11동,35.837548,128.561248
대구광역시 남구 대명로14길122-2,대명11동,35.833766,128.564783
