노선,수종,B2(센티미터)이하,B21-2(센티미터),B26-3(센티미터),B31-3(센티미터),B36-40(센티미터),B41-45(센티미터),B46-50(센티미터),B51-55(센티미터),B56-60(센티미터),B61-65(센티미터),B66-70(센티미터)
달구벌대로,은행나무,7,15,7,3,3,1,0,0,0,0,0
북비산로,은행나무,1,1,2,3,7,9,12,9,6,2,0
서대구로,은행나무,32,23,23,22,6,1,,0,0,0,0
서대구로 33길(폴리텍 대학 앞),은행나무,1,3,0,1,0,0,1,0,0,0,0
서대구로 45길(대구학생 예술창작터),은행나무,0,10,2,0,0,0,0,0,0,0,0
국채보상로,은행나무,65,31,19,7,3,0,0,0,0,0,0
국채보상로34길,은행나무,10,0,0,0,0,0,0,0,0,0,0
달서로,은행나무,0,0,2,0,0,0,0,0,0,0,0
평리로,은행나무,9,13,16,21,9,3,0,0,0,0,0
달서천로(원대동),은행나무,2,1,7,1,1,0,0,0,0,0,0
염색공단로,은행나무,13,9,16,7,9,2,1,0,0,0,0
염색공단중앙로,은행나무,6,2,5,8,7,2,3,0,0,0,0
광명멘션 이면도로(중리동),은행나무,0,0,2,3,4,3,0,0,0,0,0
달성공원로,은행나무,0,7,5,0,0,0,0,0,0,0,0
큰장로,은행나무,7,0,0,0,0,0,0,0,0,0,0
통학로1,은행나무,2,19,20,3,1,0,0,0,0,0,0
통학로2,은행나무,18,6,10,13,11,6,1,1,0,0,0
달서천로,은행나무,0,2,1,2,3,1,0,0,0,0,0
