鉴锅,矫汲疙,气盔,楷厘,瘤锅林家,版档,困档
1,家肺1-陛龋12,10,73,措备堡开矫 合备 八窜悼 287-5,35.9226176,128.6188793
2,家肺1-陛龋5,10,33,措备堡开矫 合备 八窜悼 464-4,35.9180915,128.6117924
3,家肺1-陛龋7,10,34,措备堡开矫 合备 八窜悼 445-4,35.918729,128.6127848
4,家肺1-陛龋9,10,35,措备堡开矫 合备 八窜悼 437-8,35.9194095,128.6138412
5,家肺1-合41,10,59,措备堡开矫 合备 磨己悼2啊 32-23,35.8841666,128.5915591
6,家肺1-磨(3)13,10,106,措备堡开矫 合备 悼玫悼 951-4,35.9435912,128.5578658
7,家肺1-磨(3)14,10,386,措备堡开矫 合备 悼玫悼 896-6,35.9429179,128.5631987
8,家肺1-磨(3)15,10,67,措备堡开矫 合备 悼玫悼 894-2,35.9441901,128.5597614
9,家肺1-磨(3)16,10,67,措备堡开矫 合备 悼玫悼 897-4,35.9435214,128.5625296
10,家肺1-磨(3)17,10,57,措备堡开矫 合备 备鞠悼 767-3,35.9427557,128.5644604
11,家肺1-磨琶10,10,83,措备堡开矫 合备 包澜悼 1084-1,35.9440289,128.5418019
12,家肺1-磨琶8,10,109,措备堡开矫 合备 畴盔悼1啊 519-1,35.8861751,128.5799672
13,家肺2-18,8,680,措备堡开矫 悼备 脚鞠悼 189-8,35.8772541,128.6169334
14,家肺2-29,8,214,措备堡开矫 合备 备鞠悼 705,35.9257066,128.5574319
15,家肺2-35,9.5,17,措备堡开矫 合备 备鞠悼 554,35.9249612,128.5594435
16,家肺2-36,9.5,29,措备堡开矫 合备 备鞠悼 716,35.9285125,128.55277
17,家肺2-37,9.5,25,措备堡开矫 合备 备鞠悼 564-1,35.9249095,128.5578254
18,家肺2-38,9.5,21,措备堡开矫 合备 备鞠悼 711,35.9313747,128.5564208
19,家肺2-档巢20,8,31,措备堡开矫 合备 惫快悼 138,35.9540594,128.5839056
20,家肺2-档巢21,8,29,措备堡开矫 合备 惫快悼 150,35.953203,128.5844497
21,家肺2-档巢23,8,30,措备堡开矫 合备 惫快悼 146-4,35.9529218,128.5830966
22,家肺2-档巢24,8,30,措备堡开矫 合备 惫快悼 193,35.9524964,128.5832345
23,家肺2-档巢25,8,30,措备堡开矫 合备 惫快悼 192,35.952049,128.5832191
24,家肺2-档巢26,8,30,措备堡开矫 合备 惫快悼 239,35.9514783,128.5841432
25,家肺2-档巢27,8,30,措备堡开矫 合备 惫快悼 143,35.9532369,128.5833518
26,家肺2-档巢28,8,33,措备堡开矫 合备 惫快悼 149-1,35.9531618,128.5843305
27,家肺2-磨(3)48,8,50,措备堡开矫 合备 悼玫悼 907-6,35.9423084,128.5599657
28,家肺2-磨(3)49,8,50,措备堡开矫 合备 悼玫悼 911-9,35.9421253,128.5613817
29,家肺2-磨(3)50,8,26,措备堡开矫 合备 备鞠悼 815-15,35.9382219,128.5683438
30,家肺3-75,6,59,措备堡开矫 合备 备鞠悼 710,35.9247231,128.555526
31,家肺3-76,6,30,措备堡开矫 合备 魔魂悼 646-2,35.9001346,128.5886106
32,家肺3-77,6,70,措备堡开矫 合备 包澜悼 159-1,35.9430951,128.5468873
33,家肺3-档巢1,6,16,措备堡开矫 合备 档巢悼 630,35.9601617,128.5872025
34,家肺3-档巢10,5,40,措备堡开矫 合备 档巢悼 633,35.9601875,128.5876455
35,家肺3-档巢11,4,16,措备堡开矫 合备 惫快悼 157-1,35.9547004,128.585615
36,家肺3-档巢13,4,18,措备堡开矫 合备 惫快悼 127,35.9556535,128.5863412
37,家肺3-档巢14,4,33,措备堡开矫 合备 档巢悼 681-3,35.9599756,128.5855912
38,家肺3-档巢2,4,14,措备堡开矫 合备 档巢悼 720-1,35.9598189,128.5834329
39,家肺3-档巢3,6,44,措备堡开矫 合备 惫快悼 193,35.9524964,128.5832345
40,家肺3-档巢4,6,54,措备堡开矫 合备 惫快悼 1056,35.952295,128.5839436
41,家肺3-档巢6,5,87,措备堡开矫 合备 惫快悼 1040,35.9572942,128.5882791
42,家肺3-档巢7,4,36,措备堡开矫 合备 惫快悼 128,35.9554331,128.586337
43,家肺3-概1,4,507,措备堡开矫 合备 怕傈悼 1101,35.9117722,128.5440587
44,家肺3-概10,4,28,措备堡开矫 合备 概玫悼 683,35.9086502,128.5423909
45,家肺3-概11,4,13,措备堡开矫 合备 概玫悼 675,35.9100426,128.542431
46,家肺3-概12,6,130,措备堡开矫 合备 概玫悼 672,35.9093911,128.5441737
47,家肺3-概13,6,67,措备堡开矫 合备 概玫悼 669-3,35.9106919,128.5438113
48,家肺3-概2,4,24,措备堡开矫 合备 概玫悼 688,35.9082505,128.542899
49,家肺3-概3,4,28,措备堡开矫 合备 谰郴悼 1118-12,35.9333338,128.5504493
50,家肺3-概4,4,23,措备堡开矫 合备 怕傈悼 1130,35.9100002,128.5480718
51,家肺3-概5,4,25,措备堡开矫 合备 怕傈悼 1160,35.9092484,128.5479578
52,家肺3-概6,4,14,措备堡开矫 合备 怕傈悼 1172,35.9090229,128.5471559
53,家肺3-概7,4,181,措备堡开矫 合备 怕傈悼 1179,35.9088901,128.5471646
54,家肺3-概8,4,26,措备堡开矫 合备 概玫悼 703,35.9069771,128.5419048
55,家肺3-概9,4,23,措备堡开矫 合备 概玫悼 694,35.9079513,128.542106
56,家肺3-汗6,6,88,措备堡开矫 合备 汗泅悼 320-1,35.8952676,128.6196533
57,家肺3-合148,3,39,措备堡开矫 合备 魔魂悼 505-1,35.895305,128.5879711
58,家肺3-合170,4.8,26,措备堡开矫 合备 概玫悼 370,35.9039352,128.5445152
59,家肺3-合171,4,78,措备堡开矫 合备 概玫悼 296-1,35.9048532,128.545062
60,家肺3-磨(2)24,6,30,措备堡开矫 合备 惫快悼 1079,35.9450851,128.565347
61,家肺3-磨(2)25,6,30,措备堡开矫 合备 备鞠悼 594,35.9247164,128.5545552
62,家肺3-磨(2)26,6,30,措备堡开矫 合备 悼玫悼 838-5,35.9415633,128.5572024
63,家肺3-磨(2)27,6,30,措备堡开矫 合备 备鞠悼 783-4,35.9409467,128.5698604
64,家肺3-磨(2)28,6,30,措备堡开矫 合备 悼玫悼 838-5,35.9415633,128.5572024
65,家肺3-磨(2)29,6,45,措备堡开矫 合备 谰郴悼 587,35.9498694,128.5514266
66,家肺3-磨(2)30,6,30,措备堡开矫 合备 备鞠悼 802-1,35.9311463,128.5617578
67,家肺3-磨(2)31,6,30,措备堡开矫 合备 怕傈2悼 819,35.9125217,128.5491726
68,家肺3-磨(2)32,6,28,措备堡开矫 合备 魂拜悼 802-2,35.8976339,128.5946474
69,家肺3-磨(2)33,6,28,措备堡开矫 合备 备鞠悼 793-3,35.9332483,128.5626469
70,家肺3-磨(2)34,6,243,措备堡开矫 合备 备鞠悼 748,35.9248231,128.5558399
71,家肺3-磨(2)35,6,63,措备堡开矫 合备 备鞠悼 675-8,35.9251165,128.5546209
72,家肺3-磨(2)36,6,21,措备堡开矫 合备 备鞠悼 670-2,35.925533,128.5509875
73,家肺3-磨(2)37,6,21,措备堡开矫 合备 备鞠悼 668-1,35.9261384,128.5517574
74,家肺3-磨(2)38,6,41,措备堡开矫 合备 备鞠悼 673,35.9262583,128.5540707
75,家肺3-磨(2)39,6,15,措备堡开矫 合备 备鞠悼 753,35.9259826,128.5576646
76,家肺3-磨(3)10,6,18,措备堡开矫 合备 悼玫悼 916-6,35.939533,128.5589022
77,家肺3-磨(3)11,6,10,措备堡开矫 合备 悼玫悼 916-7,35.9394993,128.558281
78,家肺3-磨(3)12,6,10,措备堡开矫 合备 悼玫悼 917-9,35.9392826,128.5599383
79,家肺3-磨(3)13,6,14,措备堡开矫 合备 悼玫悼 928-9,35.9376091,128.5572067
80,家肺3-磨(3)14,6,33,措备堡开矫 合备 悼玫悼 929-5,35.9373609,128.5577402
81,家肺3-磨(3)15,6,26,措备堡开矫 合备 悼玫悼 923-8,35.9373206,128.5594775
82,家肺3-磨(3)16,6,15,措备堡开矫 合备 悼玫悼 932-16,35.9367962,128.5566962
83,家肺3-磨(3)17,6,32,措备堡开矫 合备 悼玫悼 932-8,35.9368495,128.5576453
84,家肺3-磨(3)18,6,31,措备堡开矫 合备 悼玫悼 940-11,35.9363589,128.5587
85,家肺3-磨(3)19,6,12,措备堡开矫 合备 悼玫悼 941-14,35.936107,128.5593237
86,家肺3-磨(3)2,6,31,措备堡开矫 合备 惫快悼 1081-14,35.9467902,128.5708046
87,家肺3-磨(3)20,6,13,措备堡开矫 合备 悼玫悼 937-6,35.9359276,128.5572873
88,家肺3-磨(3)21,6,13,措备堡开矫 合备 悼玫悼 941-7,35.9352964,128.5587459
89,家肺3-磨(3)22,6,13,措备堡开矫 合备 悼玫悼 947-9,35.9346172,128.5562372
90,家肺3-磨(3)23,6,30,措备堡开矫 合备 备鞠悼 813-6,35.9374162,128.5682573
91,家肺3-磨(3)24,6,26,措备堡开矫 合备 备鞠悼 816-4,35.9369541,128.5674921
92,家肺3-磨(3)25,6,26,措备堡开矫 合备 备鞠悼 817-6,35.9363284,128.5670709
93,家肺3-磨(3)26,6,23,措备堡开矫 合备 备鞠悼 824-7,35.9355304,128.566695
94,家肺3-磨(3)27,6,17,措备堡开矫 合备 备鞠悼 826-8,35.9338568,128.5663514
95,家肺3-磨(3)28,6,35,措备堡开矫 合备 备鞠悼 790-6,35.9325126,128.5619982
96,家肺3-磨(3)29,6,16,措备堡开矫 合备 备鞠悼 792-19,35.9315996,128.5619574
97,家肺3-磨(3)3,6,30,措备堡开矫 合备 惫快悼 1084-4,35.9459224,128.5701325
98,家肺3-磨(3)30,6,32,措备堡开矫 合备 备鞠悼 800-10,35.9320227,128.5645546
99,家肺3-磨(3)4,6,33,措备堡开矫 合备 惫快悼 1089-6,35.9448243,128.5722452
100,家肺3-磨(3)5,6,23,措备堡开矫 合备 惫快悼 1102-1,35.9449198,128.5728844
101,家肺3-磨(3)6,6,28,措备堡开矫 合备 惫快悼 1097-2,35.9444374,128.570254
102,家肺3-磨(3)7,6,25,措备堡开矫 合备 惫快悼 1099-8,35.9436089,128.5698878
103,家肺3-磨(3)8,6,27,措备堡开矫 合备 惫快悼 1103-1,35.9439228,128.5737132
104,家肺3-磨(3)9,6,32,措备堡开矫 合备 惫快悼 1112-11,35.9479466,128.5760891
105,家肺3-磨110,6,31,措备堡开矫 合备 怕傈悼 1204,35.9231092,128.5523683
106,家肺3-磨111,4,42,措备堡开矫 合备 怕傈悼 1211,35.9215781,128.5511089
107,家肺3-磨112,4,22,措备堡开矫 合备 怕傈悼 1206,35.9218175,128.5505616
108,家肺3-磨琶124 ,4,17,措备堡开矫 合备 怕傈悼 995-5,35.9308834,128.5489048
109,家肺3-磨琶127,4,21,措备堡开矫 合备 怕傈悼 957-5,35.9299738,128.5467104
110,家肺3-磨琶128,4,21,措备堡开矫 合备 怕傈悼 957-8,35.9297846,128.5466795
111,家肺3-磨琶134,4,18,措备堡开矫 合备 怕傈悼 1053-10,35.9265909,128.5489247
112,家肺3-切1,6,30,措备堡开矫 合备 切沥悼 373-1,35.9558116,128.5659757
113,家肺3-切2,6,20,措备堡开矫 合备 切沥悼 286-2,35.9515413,128.5652499
114,家肺3-切3,6,20,措备堡开矫 合备 切沥悼 286-2,35.9515413,128.5652499
115,家肺3-切4,6,30,措备堡开矫 合备 切沥悼 272,35.950181,128.5649655
116,家肺3-切5,6,30,措备堡开矫 合备 切沥悼 272,35.950181,128.5649655
117,家肺3-切6,6,21,措备堡开矫 合备 备鞠悼 694-1,35.9282215,128.5578186
118,吝肺2-200,15,397,措备堡开矫 合备 悼玫悼 914-2,35.9394607,128.5607162
119,吝肺2-201,15,432,措备堡开矫 合备 备鞠悼 785-4,35.9388345,128.5669015
120,吝肺3-85,12,10,措备堡开矫 合备 谰郴悼 707-1,35.9469905,128.5456287
